iter	Logloss
0	0.6327480992
1	0.5821106315
2	0.5396200773
3	0.5029685896
4	0.4718308335
5	0.4442967313
6	0.4199248221
7	0.3992765548
8	0.3811494507
9	0.3656797294
10	0.3526784069
11	0.3412596242
12	0.3315887685
13	0.3234147432
14	0.3161198459
15	0.3098697005
16	0.3042480957
17	0.299644176
18	0.2950474579
19	0.2910915526
20	0.2876545207
21	0.2843904544
22	0.2817221159
23	0.2791426894
24	0.2770001108
25	0.2748279522
26	0.273092757
27	0.2715698104
28	0.2697845967
29	0.268423996
30	0.2673016398
31	0.2663254785
32	0.2653913268
33	0.2647795959
34	0.2640102233
35	0.263070643
36	0.2624275043
37	0.2620430311
38	0.2615942983
39	0.2610999559
40	0.2604409784
41	0.2600571442
42	0.2597611519
43	0.2594182561
44	0.2591960365
45	0.2588651869
46	0.2585795371
47	0.2583584468
48	0.2581336391
49	0.2578552078
50	0.2576204573
51	0.2574936669
52	0.2573819295
53	0.2572136068
54	0.2570293527
55	0.256860818
56	0.2565671615
57	0.2563930024
58	0.2562540241
59	0.2561233441
60	0.2559821246
61	0.2558741389
62	0.2557705446
63	0.255692281
64	0.2556027191
65	0.2554983983
66	0.255420121
67	0.2553211724
68	0.2552253705
69	0.254991726
70	0.2549123818
71	0.2548228011
72	0.2547295421
73	0.2546786106
74	0.2545977041
75	0.2545633708
76	0.2544949938
77	0.2543355214
78	0.2542728249
79	0.2542207442
80	0.2541437904
81	0.2540733038
82	0.2540237443
83	0.253987546
84	0.253948684
85	0.2538753335
86	0.2538269397
87	0.2537763635
88	0.2537165781
89	0.2536694081
90	0.253515216
91	0.2534548727
92	0.253410142
93	0.2532917483
94	0.2532346086
95	0.2532037185
96	0.2531608944
97	0.2531327065
98	0.2530994294
99	0.2530564789
100	0.2530298693
101	0.252995615
102	0.2529674764
103	0.2529395012
104	0.2528913059
105	0.2528455723
106	0.2528144466
107	0.2527241299
108	0.2526979228
109	0.252664208
110	0.2526432493
111	0.2526242683
112	0.252585583
113	0.2525405924
114	0.2525031614
115	0.2524714797
116	0.252454912
117	0.252388146
118	0.2523636052
119	0.2523478099
120	0.2522849475
121	0.2522264681
122	0.2522059303
123	0.252188898
124	0.25214186
125	0.2520903633
126	0.252054934
127	0.2520247408
128	0.2520025377
129	0.2519801478
130	0.251942182
131	0.2519151498
132	0.2518900842
133	0.2518719991
134	0.251819352
135	0.2517942394
136	0.2517493481
137	0.2517306472
138	0.2516971647
139	0.2516736676
140	0.2516287054
141	0.2515919761
142	0.2515726831
143	0.2515402442
144	0.2514906634
145	0.2514490595
146	0.2514280073
147	0.2514153319
148	0.2513831957
149	0.2513701298
150	0.2513552686
151	0.2513172036
152	0.2513049767
153	0.2512619045
154	0.2512406181
155	0.2512158331
156	0.2511922385
157	0.2511749184
158	0.2511572737
159	0.2510992952
160	0.2510569247
161	0.2510296834
162	0.2509953923
163	0.250978975
164	0.2509693287
165	0.2509490443
166	0.250922482
167	0.2509098897
168	0.2508916732
169	0.2508494568
170	0.2507876816
171	0.2507727265
172	0.250760211
173	0.2507349135
174	0.2506975694
175	0.2506666651
176	0.2505765801
177	0.250537711
178	0.250523642
179	0.250512061
180	0.2504742026
181	0.2504267669
182	0.2503820073
183	0.2503629478
184	0.2503518382
185	0.2503134041
186	0.2502694872
187	0.2502392247
188	0.2502244573
189	0.2502146586
190	0.2501856893
191	0.2501089864
192	0.2500706507
193	0.25005304
194	0.2499860573
195	0.2499653066
196	0.249939721
197	0.2499184509
198	0.2498959682
199	0.2498697467
